method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,pressure_aligned_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,257,1,538,15.0379743000085,0.010897400003159419,15.04887170001166,6.172478199806085,0.46728842500119155,0.6843830606126082,0.06506720888099773,0.13918304422201444,0.46607958245109987
Affine-DDPNM-9,2313,9,4650,23.692644399998244,0.8571529999899212,24.549797399988165,3.7836903900496344,0.14323828549396728,0.3442287122456766,0.031275000775026325,0.06725341918603947,0.11390310048911834
Monolithic-FEM,65278,monolithic,0,0.0,92.88883250000072,92.88883250000072,0.0,0.0,0.0,0.0,0.0,0.0
