case,pressure_stabilization,holes,cells_per_axis,mixed_dofs,pressure_mean,pressure_min,pressure_max,zero_mean_pressure_min,zero_mean_pressure_max,velocity_l2_rel,pressure_l2_rel_raw,pressure_l2_rel_mean_aligned,schur_iterations,schur_relative_residual,full_solve_time_seconds,hoddpnm_solve_time_seconds
pressure_stab_1em8,1e-08,27,4,2288,37924593.1875022,-89834871.54830444,246745027.39064163,-127759464.73580664,208820434.20313942,6.787509494167946e-09,4.9910737479494906e-09,5.367476003820961e-09,7,3.039220991973465e-08,0.030192399997758912,0.0032159000002138782
pressure_stab_1em10,1e-10,27,4,2288,3792459316.9057803,-8983487154.82749,24674502739.036907,-12775946471.73327,20882043422.131126,6.473166428885187e-09,5.006303354278085e-09,5.383935454474578e-09,7,3.0380131827102696e-08,0.030151299997669412,0.0037994999984221067
pressure_stab_1em12,1e-12,27,4,2288,379245931950.93634,-898348715487.6582,2467450273916.1587,-1277594647438.5945,2088204341965.2224,2.7063780614700636e-07,1.2146950705605707e-08,1.3066267831440719e-08,7,5.437882940596278e-08,0.030537399998138426,0.004217800000333227
