method,tracer_time_seconds,mean_outlet_concentration,final_outlet_concentration,final_concentration_min,final_concentration_max,final_concentration_below_zero,final_concentration_above_one,raw_final_concentration_min_before_limiter,raw_final_concentration_max_before_limiter,raw_final_concentration_below_zero_before_limiter,raw_final_concentration_above_one_before_limiter,limiter_final_mass_residual,max_mass_balance_residual_rate,max_mass_balance_relative_residual,max_limiter_mass_residual,final_tracer_mass,min_tracer_mass,max_tracer_mass,t10,t50,t90,outlet_flux_weight,velocity_dof_mapping_max_distance,concentration_vertex_mapping_max_distance,breakthrough_rel_l2_error,breakthrough_abs_l1_error,concentration_l2_abs_fem_integral_vs_fem,concentration_rel_l2_fem_integral_vs_fem,concentration_linf_abs_vs_fem,final_mass_error_vs_fem,final_mass_rel_error_vs_fem,t10_error,t50_error,t90_error,stokes_solve_time_seconds,active_dofs,active_dof_ratio,velocity_rel_l2_error_vs_fem,pressure_rel_l2_error_vs_fem,velocity_rel_l2_fem_integral_vs_fem,pressure_rel_l2_fem_integral_vs_fem
FEM,0.2696371000201907,0.8590333243501644,0.9772302229152435,0.14889881159562507,1.0,0,0,0.1487677654591071,1.0028438363036032,0,151,0.0,2.134369070372344e-13,3.570828692471395e-14,4.547473508864641e-13,1110.0293466536502,88.99999999999999,1110.0293466536502,1.9782853345559512,3.9740810210804076,19.96499235385674,106.18171623432795,5.0246170906302436e-15,5.0246170906302436e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.810119300003862,42532,1.0,0.0,0.0,0.0,0.0
HODDPNM,0.19320119998883456,0.859033324350384,0.977230222915386,0.14889881159557675,1.0,0,0,0.14876776545906162,1.0028438363036012,0,151,0.0,2.2514282105312589e-13,4.588503539678986e-14,4.547473508864641e-13,1110.0293466538888,88.99999999999999,1110.0293466538888,1.9782853345559455,3.9740810210803614,19.964992353789825,106.18171623431506,5.0246170906302436e-15,5.0246170906302436e-15,2.7224572180039217e-13,1.3213830488920672e-11,1.6108998537561697e-11,4.993863173408032e-13,2.8743674107545303e-12,2.3851498553995043e-10,2.1487268445558633e-13,-5.773159728050814e-15,-4.618527782440651e-14,-6.691536214020744e-11,2.943653299997095,11521,0.2708783974419261,7.394728188670041e-13,1.409321270366218e-15,5.978151964400065e-13,1.373091637936758e-15
