geometry,dt,steps,final_phi_min,worst_phi_min,final_mass,final_free_energy,newton_iterations
random27,1.0,1,-1.3461404554726895,-1.3461404554726895,-0.87238777829136,0.005934566402987131,2
random27,0.5,2,-1.413214237337268,-1.413214237337268,-0.8718989381414554,0.00590451918421738,4
random27,0.25,4,-1.4531054839725273,-1.4531054839725273,-0.8716161851791354,0.005901217527134845,8
bentheimer,1.0,1,-1.3280441698398333,-1.3280441698398333,-0.8211637039154274,0.005298960800685801,2
bentheimer,0.5,2,-1.371019482605573,-1.371019482605573,-0.8209346686197964,0.0052630341259479714,4
bentheimer,0.25,4,-1.3973066728085453,-1.3973066728085453,-0.8208024168953907,0.0052446570054097644,6
