method,interface_unknowns,velocity_relative_L2,velocity_relative_broken_H1,pressure_raw_relative_L2,outlet_flux_relative_error,relative_mass_imbalance
DDPNM,144,0.21083797844538754,0.4482861540440511,0.032078425608597826,0.16462599544737475,2.4995941516224454e-13
DDPNMT,432,0.19956569360415402,0.43325503491753575,0.03249992758917623,0.14849046990628165,8.822677248483119e-14
Cross-DDPNM,864,0.20527768971406105,0.44367467896949797,0.03155808730206186,0.16040004986999118,9.555237457075386e-14
Cross-DDPNMT,2592,0.19327113481032174,0.4331077685416863,0.03708226461966558,0.1337389626329777,2.728859414717435e-14
