method,stokes_solve_time_seconds,global_unknowns,modes_per_interface,velocity_relative_l2_error_vs_fem,velocity_relative_broken_h1_vs_fem,pressure_raw_relative_l2_error_vs_fem,pressure_mean_aligned_relative_l2_error_vs_fem,outlet_flux_relative_error_vs_fem,two_phase_time_seconds,final_saturation_min,final_saturation_max,raw_final_saturation_min_before_limiter,raw_final_saturation_max_before_limiter,raw_final_saturation_below_zero_before_limiter,raw_final_saturation_above_one_before_limiter,max_picard_iterations,max_mass_balance_relative_residual,max_limiter_mass_residual,final_saturation_mass,final_recovery,watercut_t10,watercut_t50,watercut_t90,watercut_rel_l2_error,watercut_abs_l1_error,saturation_rel_l2_fem_integral_vs_fem,saturation_linf_abs_vs_fem,recovery_final_error_vs_fem,recovery_rel_l2_error,watercut_t50_error,watercut_t90_error,offline_seconds,online_seconds,schur_symmetry_error,min_schur_eigenvalue,max_mass_residual
FEM,401.9553853000107,75954,monolithic,0.0,0.0,0.0,0.0,0.0,8.278571500006365,0.0,1.0,-4.764310543925193,3.30861580279972,565,17,3,0.0,0.0,0.18743379175299768,-0.002367060132391655,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,,,,,
Classic-DDPNM-1,27.516959600005066,114,1,0.6532027987220982,0.858518320646569,0.10303528968086895,0.21957401991730893,0.727187364715219,8.24255599998287,0.0,1.0,-2.6750346466957318,3.267678057553362,540,16,3,0.4,2.7755575615628914e-17,0.18856149625961172,-0.0008771645289201536,nan,nan,nan,7.825524362374476,0.012334826272811857,0.22042446869268487,0.896494816012069,0.0014898956034715017,0.12419243910248276,nan,nan,27.492972900014138,0.023986699990928173,0.0,2.106520183459838e-08,2.1662359406260379e-16
NormalLinear-DDPNM-3,32.03068890000577,342,3,0.307487903081215,0.389650364835209,0.032189966142014095,0.0694363922382594,0.1465000395055281,8.520585500024026,0.0,1.0,-5.394845150932445,10.377520937640366,557,18,3,0.4,2.7755575615628914e-17,0.18820221024405387,-0.001351844422304278,nan,nan,nan,0.9994350689172583,0.0015753395395870337,0.1764733970237345,0.8919033693638141,0.0010152157100873772,0.08462479851416116,nan,nan,31.94333110001753,0.08735779998824,0.0,1.2601390339809299e-12,3.5453411040275995e-16
Affine-DDPNM-9,42.54799920000369,1026,9,0.06505828625813033,0.17556381317240624,0.02027635709014223,0.04359659825719671,0.027055470437198595,3.6874474000069313,0.0,1.0,-2.248411230398245,1.800104710792176,544,12,3,0.4,0.0,0.18757111211383556,-0.0021856358313628154,nan,nan,nan,1.0,0.001576230000908097,0.16451661804321707,0.8919652798974713,0.00018142430102883978,0.015122889419054295,nan,nan,42.14085339999292,0.40714580001076683,0.0,1.259419884142969e-12,4.924717317972283e-16
