method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,pressure_aligned_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,369,1,771,12.663647299981676,0.022631900035776198,12.686279200017452,1.8622081169348539,0.43553546916244495,0.6396213498190332,0.06723282623201159,0.14442810654239938,0.40147966478196245
Affine-DDPNM-9,3321,9,6675,17.560142500035,2.0334632000303827,19.593605700065382,1.2057245849290246,0.11312942888700533,0.30729426862791065,0.03932285694753814,0.08439859336359266,0.07750806271882477
Monolithic-FEM,38243,monolithic,0,0.0,23.624492099974304,23.624492099974304,0.0,0.0,0.0,0.0,0.0,0.0
