method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,pressure_aligned_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,369,1,771,17.33223260001978,0.01773319998756051,17.34996580000734,1.5863542278571927,0.43553546916244373,0.6396213498190328,0.0672328262320115,0.1444281065423991,0.40147966478196473
Affine-DDPNM-9,3321,9,6675,22.75557330000447,2.256896999984747,25.012470299989218,1.100378781860311,0.11312942889474828,0.3072942685739607,0.039322856897022834,0.08439859325499448,0.07750806272105489
Monolithic-FEM,38243,monolithic,0,0.0,27.523191600019345,27.523191600019345,0.0,0.0,0.0,0.0,0.0,0.0
