method,interface_unknowns,velocity_relative_L2,velocity_relative_broken_H1,pressure_raw_relative_L2,outlet_flux_relative_error,maximum_cell_velocity_rms_error,maximum_slice_pointwise_velocity_error,maximum_local_mass_residual,relative_mass_imbalance
DDPNM,144,0.21083797844538754,0.4482861540440511,0.032078425608597826,0.16462599544737475,0.0025737880787261775,0.0027017727490094875,2.0729945537922845e-16,2.4995941516224454e-13
DDPNMT,432,0.19956569360415402,0.43325503491753575,0.03249992758917623,0.14849046990628165,0.002560572309528145,0.002683923408076174,2.5110122314764283e-16,8.822677248483119e-14
Cross-DDPNM,864,0.20527768971406105,0.44367467896949797,0.03155808730206186,0.16040004986999118,0.0025661171341731038,0.0026083090344652116,1.8491068051740278e-16,9.555237457075386e-14
Cross-DDPNMT,2592,0.19327113481032174,0.4331077685416863,0.03708226461966558,0.1337389626329777,0.002612249848856916,0.0026637876130440508,2.1185310450366757e-16,2.728859414717435e-14
Uniform-DDPNM,720,0.07806694590779849,0.23360355821675552,0.018091985657757242,0.022146620013656852,0.0010110988113251817,0.0011027512441250593,1.8220017508618902e-16,2.2548504743859127e-14
Uniform-DDPNMT,2160,0.0546595543957729,0.2159000302186429,0.023128110214537298,0.00023450193563964654,0.0006393916622290687,0.0008241829437246519,1.5932350924674488e-16,2.2097922633155133e-13
