method,interface_unknowns,velocity_relative_L2,velocity_relative_broken_H1,pressure_raw_relative_L2,pressure_mean_aligned_relative_L2,outlet_flux_relative_error
DDPNM,144,0.21863457213945373,0.4531067978811719,0.02877585717904291,0.052652389440845146,0.18718748707772867
DDPNMT,432,0.20830170323294905,0.44011362132155335,0.029007374549534313,0.05307606676832561,0.17401704229478887
HODDPNM,1296,0.0672129150987695,0.20141771967233862,0.014263632387803505,0.026099477995758326,0.023660521007925376
adaptive_final,1284,0.0673265661084268,0.20154890033078596,0.014268766474595648,0.026109128462684227,0.02372069585139042
