interface_id,pore_i,pore_j,center_x,center_y,center_z,normal_x,normal_y,normal_z,area,constant_normal_traction,flux_balance_residual,mesh_triangles
0,0,1,0.08490295587512636,0.0849029558751263,0.19999999999999993,0.04662168617265186,0.04662168617265186,0.9978240510013964,0.03148271909569276,0.9703745897335163,-1.5070410197548512e-17,39
1,0,4,0.08490287301410757,0.19999999999999998,0.08490301598753236,0.04662168617265187,0.9978240510013966,0.04662168617265187,0.03148271913672348,0.9703097695381234,-1.940721888749053e-17,39
2,0,16,0.19999999999999993,0.08490287301410758,0.08490301598753236,0.9978240510013966,0.04662168617265187,0.04662168617265187,0.03148271913672347,0.8194036744492679,-6.5865281978494394e-18,39
3,1,2,0.08490295587512632,0.08490295587512628,0.5,0.0,0.0,1.0,0.031482719095692765,0.9740041051302917,-3.426078865054194e-17,39
4,1,5,0.07787530500011038,0.2,0.35000000000000003,0.08264555337846424,0.9965790046487872,0.0,0.042965438273446996,0.9817038584172322,-3.0574501264091225e-17,54
5,1,17,0.2000000000000001,0.07787530500011039,0.3500000000000001,0.9965790046487872,0.08264555337846424,0.0,0.04296543827344698,0.8241843021922414,8.456776945386935e-18,54
6,2,3,0.08490295587512633,0.0849029558751263,0.7999999999999998,-0.04662168617265186,-0.04662168617265186,0.9978240510013964,0.031482719095692765,0.9703539803504447,1.8539857149502126e-17,39
7,2,6,0.07787530500011032,0.19999999999999987,0.65,0.08264555337846424,0.9965790046487872,0.0,0.04296543827344698,0.9815512041327729,-5.637851296924623e-18,54
8,2,18,0.2,0.07787530500011035,0.6500000000000001,0.9965790046487872,0.08264555337846424,0.0,0.04296543827344697,0.8210274698846762,-1.9949319973733282e-17,54
9,3,7,0.08490287301410757,0.19999999999999998,0.9150969840124675,0.04662168617265187,0.9978240510013966,-0.04662168617265203,0.03148271913672347,0.9703207791054688,-1.1438332919722072e-17,39
10,3,19,0.2,0.08490287301410754,0.9150969840124674,0.9978240510013966,0.04662168617265187,-0.04662168617265203,0.03148271913672347,0.8185878632861993,7.589415207398531e-19,39
11,4,5,0.07787542641871767,0.35,0.20000000000000004,0.08264555337846424,0.0,0.9965790046487872,0.042965438191385624,0.9813546826398263,8.673617379884035e-18,54
12,4,8,0.08490287301410757,0.5,0.08490301598753237,0.0,1.0,0.0,0.03148271913672347,0.974063573897646,-1.6046192152785466e-17,39
13,4,20,0.19999999999999996,0.35,0.077875514526295,0.9965790046487872,0.0,0.08264555337846424,0.04296543827344695,0.8242372451792203,2.3283241654126208e-17,54
14,5,6,0.0778754264187176,0.34999999999999964,0.5000000000000001,0.0,0.0,1.0,0.04296543819138564,0.9856855147051163,-3.187554387107383e-17,54
15,5,9,0.07787530500011035,0.5,0.35,0.0,1.0,0.0,0.042965438273447,0.9856928000842978,2.1358782797964437e-17,54
16,5,21,0.1999999999999999,0.35000000000000003,0.35,1.0,0.0,0.0,0.055930876546893986,0.8278319727964372,4.391018798566293e-17,74
17,6,7,0.0778754264187176,0.3499999999999998,0.8000000000000002,-0.08264555337846424,0.0,0.9965790046487872,0.04296543819138563,0.9814120752769374,1.9949319973733282e-17,54
18,6,10,0.07787530500011033,0.5,0.6499999999999998,0.0,1.0,0.0,0.042965438273446975,0.9854999366014392,1.0625181290357943e-17,54
19,6,22,0.19999999999999996,0.3499999999999999,0.6499999999999998,1.0,0.0,0.0,0.05593087654689394,0.827183848796144,5.572799166575493e-17,74
20,7,11,0.08490287301410755,0.5,0.9150969840124679,0.0,1.0,0.0,0.031482719136723465,0.9740270374327691,1.9949319973733282e-17,39
21,7,23,0.19999999999999996,0.35,0.922124485473705,0.9965790046487872,0.0,-0.08264555337846408,0.04296543827344697,0.824709552690596,6.071532165918825e-18,54
22,8,9,0.07787542641871753,0.65,0.19999999999999998,0.08264555337846424,0.0,0.9965790046487872,0.04296543819138557,0.9818165670187122,3.2634485391813683e-17,54
23,8,12,0.08490287301410757,0.7999999999999998,0.08490301598753236,-0.04662168617265187,0.9978240510013966,-0.04662168617265187,0.03148271913672347,0.9706261775282717,-4.0115480381963664e-18,39
24,8,24,0.19999999999999993,0.6499999999999999,0.07787551452629501,0.9965790046487872,0.0,0.08264555337846424,0.04296543827344694,0.8236195136146082,-6.505213034913027e-19,54
25,9,10,0.07787542641871754,0.6499999999999998,0.5000000000000001,0.0,0.0,1.0,0.042965438191385576,0.9854833899477135,-2.2876665839444144e-17,54
26,9,13,0.07787530500011035,0.8000000000000003,0.3499999999999999,-0.08264555337846424,0.9965790046487872,0.0,0.04296543827344701,0.9814882602520454,1.3769367590565906e-17,54
27,9,25,0.2,0.6499999999999996,0.3499999999999999,1.0,0.0,0.0,0.055930876546894014,0.8301545898047012,4.087442190270352e-17,74
28,10,11,0.07787542641871756,0.6500000000000001,0.7999999999999999,-0.08264555337846424,0.0,0.9965790046487872,0.04296543819138557,0.9815589127458076,-3.599551212651875e-17,54
29,10,14,0.07787530500011035,0.7999999999999997,0.65,-0.08264555337846424,0.9965790046487872,0.0,0.04296543827344697,0.9816986679894438,4.445228907190568e-18,54
30,10,26,0.19999999999999996,0.6500000000000002,0.65,1.0,0.0,0.0,0.05593087654689392,0.8281963900182321,-4.7704895589362195e-18,74
31,11,15,0.08490287301410754,0.7999999999999998,0.9150969840124675,-0.04662168617265187,0.9978240510013966,0.04662168617265203,0.03148271913672347,0.9705014711408222,8.998878031629687e-18,39
32,11,27,0.20000000000000004,0.6499999999999999,0.9221244854737047,0.9965790046487872,0.0,-0.08264555337846408,0.04296543827344697,0.8242824893915581,2.054563116860031e-17,54
