method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,pressure_aligned_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,326,1,685,15.024992099992232,0.01337450000573881,15.038366599997971,0.9552843657911287,0.549906920914861,0.7218503714040497,0.0737267282749666,0.1592355545165989,0.5000777341073217
Affine-DDPNM-9,2934,9,5901,16.448225200001616,1.4858033999917097,17.934028599993326,0.80104235475675,0.1089422480384744,0.3198513780052251,0.05164706455488955,0.11162748940962426,0.06664192222437734
Monolithic-FEM,25265,monolithic,0,0.0,14.365916500013554,14.365916500013554,0.0,0.0,0.0,0.0,0.0,0.0
