method,stokes_solve_time_seconds,global_unknowns,modes_per_interface,velocity_relative_l2_error_vs_fem,velocity_relative_broken_h1_vs_fem,pressure_raw_relative_l2_error_vs_fem,pressure_mean_aligned_relative_l2_error_vs_fem,outlet_flux_relative_error_vs_fem,two_phase_time_seconds,final_saturation_min,final_saturation_max,raw_final_saturation_min_before_limiter,raw_final_saturation_max_before_limiter,raw_final_saturation_below_lower_bound_before_limiter,raw_final_saturation_above_upper_bound_before_limiter,max_picard_iterations,nonconverged_picard_steps,max_mass_balance_absolute_residual,max_mass_balance_relative_residual,max_cumulative_budget_residual,max_limiter_mass_residual,final_saturation_mass,final_recovery,final_pore_volumes_injected,watercut_t10,watercut_t50,watercut_t90,watercut_rel_l2_error,watercut_abs_l1_error,saturation_rel_l2_fem_integral_vs_fem,saturation_linf_abs_vs_fem,recovery_final_error_vs_fem,recovery_rel_l2_error,watercut_t50_error,watercut_t90_error,offline_seconds,online_seconds,schur_symmetry_error,min_schur_eigenvalue,max_mass_residual
FEM,116.03321409999626,75954,monolithic,0.0,0.0,0.0,0.0,0.0,54.54409010001109,0.20004734908066724,0.8,0.19634599118871496,0.8412865994879728,157,64,6,7,8.61940727125976e-17,1.1841513152296852e-13,8.326672684688674e-16,8.326672684688674e-17,0.2110623337837838,0.028850391497566668,0.02308032453627401,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,,,,,
Classic-DDPNM-1,7.86383729998488,114,1,0.6532027987220982,0.858518320646569,0.10303528968086895,0.21957401991730893,0.727187364715219,54.81590169999981,0.20029482473910906,0.8,0.1791491011784899,0.9153065015068343,121,129,6,20,1.2685165418080402e-16,1.0061259398476688e-13,5.551115123125783e-16,5.551115123125783e-17,0.22704767485455046,0.04996983301938637,0.039977492745735886,nan,nan,nan,66.30586664821735,0.00013477188240056478,0.19201127962462008,0.5954908088275517,0.021119441521819705,0.7320779820260122,nan,nan,7.854435499990359,0.009401799994520843,0.0,2.106520183459838e-08,2.1662359406260379e-16
NormalLinear-DDPNM-3,9.243412400013767,342,3,0.307487903081215,0.389650364835209,0.032189966142014095,0.0694363922382594,0.1465000395055281,55.1889111000055,0.20010949948433038,0.8,0.18728028128265822,0.8442984415790644,142,71,6,29,8.55435514091063e-17,1.0252278791121428e-13,1.942890293094024e-16,5.551115123125783e-17,0.21425696347146825,0.033071058080421434,0.0264568803475473,nan,nan,nan,1.6526144092742117,2.8038007014516456e-06,0.059667734142127324,0.2025778618108236,0.004220666582854766,0.14629561126300644,nan,nan,9.215713400015375,0.027698999998392537,0.0,1.2601390339809299e-12,3.5453411040275995e-16
Affine-DDPNM-9,12.64310720001231,1026,9,0.06505828625813033,0.17556381317240624,0.02027635709014223,0.04359659825719671,0.027055470437198595,54.10955190000823,0.20005922767429007,0.8,0.1966526018089387,0.8407808411311036,151,62,6,21,1.1340754724198376e-16,1.5162076109209818e-13,7.216449660063518e-16,8.326672684688674e-17,0.21166446508916215,0.029645912646355323,0.023716743118743146,nan,nan,nan,0.12882488772695974,2.1202697230065795e-07,0.011811544536556069,0.09122461878506383,0.0007955211487886554,0.02757405690633075,nan,nan,12.444654499995522,0.19845270001678728,0.0,1.259419884142969e-12,4.924717317972283e-16
