interface_id,pore_i,pore_j,traction_constant,traction_linear,flux_constant_residual,flux_linear_residual
0,0,1,0.8354617982581659,0.0010833484316387222,-3.318479030098219e-17,4.724193914412852e-18
1,1,2,0.9142506556069603,0.0013979213406923776,2.36559361509181e-17,-8.464135544116206e-18
2,1,3,0.825987945113247,-0.00046783610802388314,7.293292489038428e-17,-2.2848501993947938e-17
3,2,5,0.9161526311273624,0.0024756641252865314,-4.058981883242607e-17,-3.863476091104474e-18
4,3,4,0.7787916279245077,0.0010386901599675163,2.4882439858542327e-17,-4.51669731211515e-18
5,3,6,0.8050225859392726,0.003666507868107431,-6.666488108070245e-17,2.5283933475540865e-19
6,4,8,0.7310120667366679,-0.004444262577977126,-2.5729472805796627e-17,4.734914175151539e-19
7,5,7,0.8283720064109616,0.0038972024978828836,6.228741480929223e-17,-1.9613047893673324e-17
8,5,10,0.8917998651769544,0.006411679636517704,-4.9520934228275415e-17,-6.0901668907584194e-18
9,6,7,0.8008342075521223,-0.0009537205232242783,-3.48435473182529e-16,-4.04077067487664e-18
10,6,9,0.7702186127704466,0.0008359973103429995,1.766436389522008e-16,4.5804153655723545e-17
11,7,11,0.7115765618475486,0.0017662930772661181,-7.196391919872536e-18,1.7454172669358926e-18
12,8,9,0.7399706635281903,0.006260846479696112,-4.9615801918367897e-17,-3.7608262858090935e-18
13,8,12,0.5990135779914014,-0.0004279549748876143,2.1629833341085813e-17,-1.3397414247602862e-18
14,9,16,0.732365134135375,-0.009910925284017576,5.006303531451817e-17,3.0103550945417834e-17
15,10,13,0.9800062748906712,-0.011364609565094776,8.744090521095593e-17,-1.149101836904129e-16
16,10,14,0.8093165314752807,0.004102993920964339,2.2036409155767878e-17,-1.6069062042361332e-17
17,11,14,0.6331775973759286,0.0022774078549208797,1.003158060092213e-16,6.311793061407507e-17
18,11,17,0.5902217716656155,-0.005494339721162258,-1.446325698095663e-16,-8.387320243712082e-18
19,12,15,0.47371761837414367,8.39514063066065e-05,2.761623972140049e-18,-5.070244096493798e-18
20,12,18,0.46433514460943776,-0.003200091873236522,-3.867891250342037e-17,-7.576709713189717e-19
21,16,19,0.6362948045516914,0.003106486617975537,3.475545589173845e-17,1.6580934640298946e-18
22,16,20,0.6034147872954635,0.0018363092654947164,5.778797579347739e-17,-1.1548976598457165e-17
23,17,19,0.5597960899966977,0.00535249504472792,-3.670363167042334e-17,-1.1482590391216109e-17
24,17,21,0.5099282967275638,0.004475819506949774,1.0012607062903633e-16,7.961050913006355e-18
25,18,20,0.46691865518556913,0.0021069532977581436,2.6854332559750338e-17,-1.2826196403798243e-17
26,18,22,0.20364980553039955,0.0010470082781033206,5.204170427930421e-18,5.094903177734617e-19
27,19,23,0.4246287752465547,0.0017669659479549846,7.738493006115288e-18,1.5182668532839308e-18
28,20,25,0.3891493088729313,0.005758834291476768,2.951740414591786e-17,-2.063425199070679e-18
29,21,24,0.3084135452795927,0.007085521597352788,-2.0355895788415346e-17,8.502516724538667e-18
30,21,26,0.3082373784251698,0.007916148187721014,-1.7211709488207383e-18,3.490358077838955e-18
31,22,25,0.1390570983469856,0.0019946376700252836,7.724940478959219e-19,-1.2463031027662962e-18
32,23,25,0.3005095481048818,-0.0063781439722033866,-1.7468360471225436e-17,-3.761038044045907e-18
33,23,26,0.21317815868220394,0.00469519456527891,-4.892462303340839e-18,-1.9278469879507876e-18
34,24,26,0.07493818908744011,0.0014749217950397679,-1.870248747537495e-18,3.0751531150067374e-18
