method,solve_scope,active_dofs,active_dof_ratio,stokes_solve_time_seconds,velocity_rel_l2_error_vs_fem,pressure_rel_l2_error_vs_fem,velocity_rel_l2_fem_integral_vs_fem,pressure_rel_l2_fem_integral_vs_fem,solver,schur_iterations,schur_matvecs,schur_relative_residual,schur_preconditioner,hoddpnm_velocity_interface_dofs,hoddpnm_pressure_interface_dofs,hoddpnm_pressure_interior_dofs,hoddpnm_interface_dofs,hoddpnm_known_fixed_dofs,hoddpnm_free_interior_dofs_eliminated,hoddpnm_interior_dofs_eliminated,hoddpnm_boundary_dofs_total
FEM,,42532,1.0,7.810119300003862,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
HODDPNM,known-fixed-schur,11521,0.2708783974419261,2.943653299997095,7.394728188670041e-13,1.409321270366218e-15,5.978151964400065e-13,1.373091637936758e-15,matrix_free_gmres_schur_known_fixed,251,255,5.95906028191256e-11,ilu_of_diagonal_approximate_schur,17775,1637,467,19412,21940,9071,9071,11521
