method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,144,1,320,7.349034299957566,0.007060999982059002,7.356095299939625,10.501652813091058,0.2108379784453805,0.4482861540440433,0.03207842560860002,0.16462599544744308
NormalLinear-DDPNM-3,432,3,896,7.3788365999935195,0.022205499932169914,7.401042099925689,10.437875890579317,0.0816178255512383,0.23845138853099088,0.01845144315815223,0.024292526636815814
Affine-DDPNM-9,1296,9,2624,9.181409599957988,0.2079188999487087,9.389328499906696,8.227548849818657,0.056295757219095036,0.21612063208037904,0.02170960930899889,0.0032331955551133983
Monolithic-FEM,63955,monolithic,0,0.0,77.25115889997687,77.25115889997687,1.0,0.0,0.0,0.0,0.0
