geometry,viscous_form,fem_outlet_flux,fem_flux_change_vs_gradient,fem_velocity_change_vs_gradient,affine_outlet_flux,affine_flux_error_vs_fem,affine_velocity_l2_error_vs_fem
random27,gradient,0.0015062177079159314,0.0,0.0,0.0015486302312321743,0.028158295506249598,0.05553369410128783
random27,symmetric,0.0015066102298517583,0.0002606010630230582,0.05722616945560352,0.001601389350947832,0.06290885274647273,0.09490087999012811
bentheimer,gradient,0.00026186469829114886,0.0,0.0,0.0002910881867168688,0.11159766328345788,0.18741623480306724
bentheimer,symmetric,0.00025332426001996414,-0.03261393508524468,0.05887158355251672,0.00028201210393876644,0.11324554512284557,0.1761186015057382
