geometry,initial_profile,transition_length,initial_max_cell_vertex_jump,final_phi_min,final_phi_max,significant_undershoot_volume_fraction,bound_violation_l1_volume_mean,outlet_flux,mass,free_energy
random27,discontinuous,0.0,2.0,-1.4531054839725273,1.0,0.1342972649230394,0.006752210111235144,0.0015062177079159314,-0.8716161851791354,0.005901217527134845
random27,exponential,0.05,1.8961997999607911,-1.0009745699349908,1.0,0.0,5.616023678245207e-07,0.0015327998971316813,-0.8254279429511896,0.00364476089787926
bentheimer,discontinuous,0.0,2.0,-1.3973066728085453,1.0,0.10123133241815381,0.005477296286035286,0.00026186469829114886,-0.8208024168953907,0.0052446570054097644
bentheimer,exponential,0.05,1.2283573863417518,-0.9999999966733119,1.0,0.0,0.0,0.0002689547667724081,-0.7729648437404602,0.0028790764316859257
