method,global_unknowns,modes_per_interface,primitive_rhs_columns,offline_seconds,online_seconds,first_solve_seconds,speedup_vs_fem,velocity_relative_L2,velocity_relative_broken_H1,pressure_relative_L2,pressure_aligned_relative_L2,outlet_flux_relative_error
Classic-DDPNM-1,114,1,246,9.353645300026983,0.011158199980854988,9.364803500007838,12.123104750672843,0.6532027987220982,0.858518320646569,0.10303528968086895,0.21957401991730893,0.727187364715219
NormalLinear-DDPNM-3,342,3,702,8.482499899924733,0.027733800001442432,8.510233699926175,13.340467230770354,0.307487903081215,0.389650364835209,0.032189966142014095,0.0694363922382594,0.1465000395055281
Affine-DDPNM-9,1026,9,2070,11.9614322000416,0.18199129996355623,12.143423500005156,9.349134023038436,0.06505828625813033,0.17556381317240624,0.02027635709014223,0.04359659825719671,0.027055470437198595
Exact-FE-Schur,21970,full FE trace,0,0.0,455.6634634999791,455.6634634999791,0.24915426162990548,0.0,0.0,0.0,0.0,0.0
Monolithic-FEM,75954,monolithic,0,0.0,113.53049380006269,113.53049380006269,0.0,0.0,0.0,0.0,0.0,0.0
